School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
North Andover High,Public School,1391,93.0,151.0,10.9,264.0,19.0,150.0,10.8,3.2,6.9,7.3,80.4,0.2,0.4,1.6,46.3,53.7,18.6,97.0,1.2,0.3,0.3,363.0,325.0,89.5,0.0,30.5,16.6,52.9,16.3,7.4,26.2,278,404,177.0,77.0,23.0,1.0,0.0,5.0,35.0,136.0,143.0,85.0,9.9,90.1,280.0,523.0,517.0,530.0
North Attleboro High,Public School,1163,62.0,140.0,12.0,257.0,22.1,144.0,12.4,2.8,5.7,4.6,84.8,0.4,0.1,1.7,49.5,50.5,16.9,94.3,0.3,0.0,2.7,300.0,263.0,87.7,0.4,31.2,19.0,49.4,16.0,20.5,15.2,234,368,145.0,54.0,26.0,8.0,1.0,11.0,34.0,95.0,125.0,103.0,12.2,87.8,249.0,530.0,508.0,537.0
North Brookfield High,Public School,230,5.0,28.0,12.2,92.0,40.0,79.0,34.3,1.3,0.9,5.7,89.6,0.0,0.0,2.6,43.9,56.1,13.0,92.3,0.0,0.0,2.6,28.0,20.0,71.4,0.0,40.0,45.0,15.0,45.0,15.0,0.0,18,36,6.0,6.0,6.0,0.0,0.0,8.0,15.0,7.0,6.0,0.0,63.9,36.1,15.0,501.0,480.0,466.0
North Middlesex Regional,Public School,795,15.0,109.0,13.7,180.0,22.6,100.0,12.6,1.3,0.8,3.1,92.8,0.0,0.1,1.9,48.1,51.9,17.0,96.3,0.8,0.4,1.2,220.0,185.0,84.1,0.0,25.4,18.9,55.7,14.6,21.6,24.9,179,264,117.0,42.0,18.0,1.0,1.0,40.0,54.0,97.0,53.0,20.0,35.6,64.4,195.0,520.0,498.0,535.0
North Reading High,Public School,811,11.0,126.0,15.5,161.0,19.9,48.0,5.9,0.4,2.7,2.2,93.6,0.0,0.2,0.9,49.9,50.1,20.2,93.4,0.0,0.5,2.5,175.0,142.0,81.1,0.0,40.1,9.2,50.7,9.2,20.4,14.8,255,483,110.0,88.0,36.0,17.0,4.0,63.0,109.0,134.0,101.0,76.0,35.6,64.4,166.0,551.0,541.0,554.0
Northampton High,Public School,874,69.0,131.0,15.0,251.0,28.7,163.0,18.6,2.4,5.0,14.0,74.4,0.1,0.0,4.1,46.8,53.2,17.2,93.0,1.7,1.7,2.2,218.0,188.0,86.2,0.0,51.1,21.3,27.7,20.2,5.3,12.8,315,640,129.0,92.0,56.0,31.0,7.0,39.0,119.0,162.0,168.0,152.0,24.7,75.3,183.0,585.0,556.0,576.0
Algonquin Regional High,Public School,1443,134.0,163.0,11.3,249.0,17.3,80.0,5.5,1.2,10.2,4.7,80.8,0.1,0.3,2.6,47.1,52.9,16.4,95.7,0.0,0.0,2.7,349.0,325.0,93.1,0.0,46.5,2.8,50.8,2.8,10.8,16.0,387,759,183.0,114.0,46.0,22.0,22.0,12.0,59.0,209.0,261.0,218.0,9.4,90.6,333.0,551.0,552.0,566.0
Northbridge High,Public School,584,19.0,77.0,13.2,191.0,32.7,140.0,24.0,0.5,1.2,7.7,87.8,0.0,0.0,2.7,52.4,47.6,12.9,90.1,1.3,0.7,5.9,170.0,98.0,57.6,0.0,29.6,28.6,41.8,27.6,20.4,11.2,133,206,74.0,45.0,14.0,0.0,0.0,48.0,71.0,46.0,30.0,11.0,57.8,42.2,100.0,498.0,470.0,490.0
Charles McCann Vocational Technical,Public School,484,0.0,93.0,19.2,195.0,40.3,146.0,30.2,1.0,0.2,3.1,92.8,0.2,0.0,2.7,63.0,37.0,12.6,96.7,0.0,0.8,0.8,115.0,49.0,42.6,0.0,18.4,40.8,40.8,36.7,34.7,2.0,21,25,17.0,4.0,0.0,0.0,0.0,16.0,1.0,5.0,2.0,1.0,68.0,32.0,71.0,480.0,440.0,480.0
Norton High,Public School,763,8.0,105.0,13.8,181.0,23.7,104.0,13.6,1.7,1.6,1.7,93.4,0.0,0.4,1.2,50.6,49.4,19.8,96.2,0.0,0.0,2.7,153.0,123.0,80.4,0.0,23.6,21.1,55.3,20.3,25.2,15.4,179,332,82.0,52.0,36.0,7.0,2.0,34.0,59.0,92.0,88.0,59.0,28.0,72.0,151.0,520.0,502.0,513.0
Norwell High,Public School,709,5.0,71.0,10.0,92.0,13.0,25.0,3.5,0.4,2.1,2.0,94.1,0.0,0.1,1.3,48.0,52.0,15.6,98.8,0.0,0.0,0.0,169.0,152.0,89.9,0.0,49.3,7.9,42.8,7.9,7.2,18.4,221,378,111.0,78.0,20.0,9.0,3.0,15.0,54.0,117.0,119.0,73.0,18.3,81.7,158.0,555.0,547.0,555.0
Norwood High,Public School,957,133.0,149.0,15.6,319.0,33.3,195.0,20.4,12.7,3.9,9.5,72.2,0.0,0.0,1.7,50.4,49.6,13.8,93.8,0.0,0.4,3.3,263.0,218.0,82.9,0.0,39.0,17.9,43.1,16.5,16.5,16.5,106,189,48.0,38.0,15.0,5.0,0.0,16.0,34.0,67.0,40.0,32.0,26.5,73.5,222.0,505.0,513.0,523.0
Old Rochester Regional High,Public School,748,7.0,83.0,11.1,129.0,17.2,59.0,7.9,2.3,2.3,1.7,91.6,0.1,0.0,2.0,49.2,50.8,17.6,94.8,0.5,0.0,2.1,181.0,157.0,86.7,0.0,33.8,18.5,47.8,17.2,15.3,22.3,162,306,65.0,62.0,23.0,12.0,0.0,29.0,56.0,87.0,88.0,46.0,27.8,72.2,152.0,536.0,531.0,546.0
Oxford High,Public School,538,13.0,74.0,13.8,224.0,41.6,187.0,34.8,1.9,1.7,9.5,82.9,0.4,0.0,3.7,49.6,50.4,14.4,92.2,1.7,0.9,1.7,111.0,85.0,76.6,0.0,37.6,32.9,29.4,31.8,23.5,2.4,97,209,30.0,30.0,29.0,8.0,0.0,69.0,72.0,47.0,17.0,4.0,67.5,32.5,69.0,498.0,488.0,525.0
Palmer High,Public School,486,17.0,90.0,18.5,197.0,40.5,149.0,30.7,2.9,1.9,6.2,87.0,0.0,0.0,2.1,53.7,46.3,12.2,86.0,0.0,0.9,8.4,74.0,57.0,77.0,0.0,38.6,40.4,21.1,40.4,12.3,7.0,72,138,32.0,23.0,10.0,5.0,2.0,32.0,40.0,32.0,20.0,14.0,52.2,47.8,68.0,503.0,493.0,504.0
