School Name,School Type,TOTAL_Enrollment,First Language Not English,Students With Disabilities,Percent Students With Disabilities,High Needs,Percent High Needs,Economically Disadvantaged,Percent Economically Disadvantaged,Percent African American,Percent Asian,Percent Hispanic,Percent White,Percent Native American,"Percent Native Hawaiian, Pacific Islander","Percent Multi-Race, Non-Hispanic",Percent Males,Percent Females,Average Class Size,Percent Graduated,Percent Non-Grad Completers,Percent GED,Percent Dropped Out,High School Graduates (#),Attending Coll./Univ. (#),Percent Attending College,Percent Private Two-Year,Percent Private Four-Year,Percent Public Two-Year,Percent Public Four-Year,Percent MA Community College,Percent MA State University,Percent UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,Percent AP_Score 1-2,Percent AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
Sandwich High,Public School,709,7.0,101.0,14.2,149.0,21.0,69.0,9.7,1.1,2.3,1.4,94.9,0.1,0.0,0.1,51.9,48.1,14.5,93.1,1.7,0.0,2.9,207.0,174.0,84.1,0.0,41.4,19.0,39.7,19.0,12.1,15.5,199,280,120.0,77.0,2.0,0.0,0.0,56.0,70.0,79.0,50.0,25.0,45.0,55.0,143.0,520.0,508.0,530.0
Saugus High,Public School,678,87.0,87.0,12.8,239.0,35.3,174.0,25.7,5.5,5.9,12.4,75.4,0.4,0.0,0.4,50.3,49.7,13.9,87.3,0.0,1.6,7.9,162.0,137.0,84.6,0.0,29.9,24.8,45.3,24.1,23.4,10.9,163,354,71.0,39.0,25.0,17.0,11.0,92.0,111.0,85.0,47.0,19.0,57.3,42.7,139.0,490.0,484.0,500.0
Scituate High School,Public School,914,9.0,112.0,12.3,175.0,19.1,91.0,10.0,2.6,1.3,0.2,94.3,0.0,0.1,1.4,47.3,52.7,18.6,95.3,0.0,0.0,0.5,205.0,185.0,90.2,0.0,49.7,4.3,45.9,3.8,10.8,13.5,260,520,92.0,103.0,44.0,16.0,5.0,57.0,76.0,147.0,138.0,102.0,25.6,74.4,193.0,544.0,543.0,551.0
Seekonk High,Public School,583,18.0,87.0,14.9,156.0,26.8,85.0,14.6,1.9,2.4,2.9,90.6,0.0,0.0,2.2,46.8,53.2,17.4,95.9,0.0,2.0,0.0,137.0,117.0,85.4,0.0,40.2,17.9,41.9,12.0,6.0,18.8,130,230,57.0,52.0,16.0,4.0,1.0,26.0,49.0,69.0,55.0,31.0,32.6,67.4,110.0,523.0,524.0,532.0
Sharon High,Public School,1058,196.0,132.0,12.5,190.0,18.0,66.0,6.2,8.1,22.1,3.8,62.9,0.0,0.0,3.0,51.2,48.8,15.2,96.0,0.0,1.2,1.2,246.0,214.0,87.0,0.0,48.6,5.1,46.3,4.7,5.6,15.4,318,674,127.0,101.0,40.0,30.0,20.0,7.0,33.0,113.0,221.0,300.0,5.9,94.1,292.0,574.0,578.0,600.0
Shawsheen Valley Vocational Technical High School,Public School,1336,12.0,321.0,24.0,445.0,33.3,175.0,13.1,1.5,0.7,4.3,91.5,0.3,0.0,1.6,57.5,42.5,16.7,99.1,0.0,0.6,0.0,338.0,187.0,55.3,0.0,27.8,39.0,33.2,37.4,15.0,12.3,15,15,15.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,1.0,0.0,93.3,6.7,174.0,479.0,448.0,480.0
Shrewsbury Sr High,Public School,1792,407.0,207.0,11.6,356.0,19.9,143.0,8.0,1.9,20.6,7.5,67.1,0.2,0.1,2.6,46.7,53.1,16.3,96.8,0.0,0.7,0.7,413.0,386.0,93.5,0.3,46.1,11.7,42.0,11.4,12.4,17.4,291,546,130.0,100.0,36.0,17.0,8.0,11.0,30.0,96.0,179.0,230.0,7.5,92.5,367.0,543.0,543.0,579.0
Silver Lake Regional High,Public School,1279,4.0,206.0,16.1,349.0,27.3,190.0,14.9,1.6,0.7,1.0,95.9,0.0,0.2,0.5,52.5,47.5,20.0,97.9,0.0,0.7,0.7,276.0,208.0,75.4,0.0,35.1,17.3,47.6,16.8,20.7,13.9,215,443,89.0,67.0,28.0,21.0,10.0,17.0,70.0,163.0,129.0,64.0,19.6,80.4,216.0,520.0,509.0,539.0
Somerset Berkley Regional High School,Public School,1006,14.0,99.0,9.8,216.0,21.5,140.0,13.9,1.4,0.5,2.5,92.5,0.0,0.0,3.1,46.8,53.2,13.9,96.2,0.0,1.3,2.5,215.0,186.0,86.5,0.0,18.8,33.9,47.3,33.3,18.8,18.8,158,241,100.0,42.0,9.0,5.0,2.0,5.0,36.0,91.0,67.0,42.0,17.0,83.0,162.0,515.0,502.0,541.0
Somerville High,Public School,1259,723.0,213.0,16.9,730.0,58.0,499.0,39.6,13.6,9.4,45.8,30.5,0.0,0.0,0.7,54.7,45.3,14.0,85.0,0.0,0.3,8.6,279.0,203.0,72.8,0.0,36.9,35.5,27.6,35.0,7.9,19.2,271,584,113.0,60.0,54.0,31.0,13.0,97.0,173.0,151.0,104.0,59.0,46.2,53.8,165.0,462.0,458.0,486.0
South Hadley High,Public School,545,8.0,73.0,13.4,148.0,27.2,105.0,19.3,3.1,1.7,7.2,86.8,0.0,0.4,0.9,50.3,49.7,12.4,93.6,0.7,0.0,3.5,139.0,111.0,79.9,0.0,30.6,38.7,30.6,37.8,9.9,14.4,116,205,64.0,29.0,13.0,7.0,3.0,21.0,70.0,53.0,33.0,28.0,44.4,55.6,90.0,492.0,486.0,533.0
South Shore Charter Public School,Charter School,758,205.0,119.0,15.7,288.0,38.0,110.0,14.5,25.1,4.6,2.8,62.5,0.3,0.1,4.6,50.5,49.5,18.0,100.0,0.0,0.0,0.0,44.0,35.0,79.5,0.0,31.4,42.9,25.7,42.9,8.6,17.1,26,43,13.0,9.0,4.0,0.0,0.0,1.0,12.0,16.0,9.0,5.0,30.2,69.8,34.0,518.0,489.0,489.0
Southeastern Regional Vocational Technical,Public School,1416,336.0,300.0,21.2,779.0,55.0,553.0,39.1,32.6,1.4,11.7,50.4,0.1,0.0,3.9,51.2,48.8,16.1,97.0,0.3,0.7,1.0,294.0,164.0,55.8,0.0,22.0,44.5,33.5,43.9,19.5,9.1,137,168,109.0,25.0,3.0,0.0,0.0,104.0,43.0,17.0,2.0,2.0,87.5,12.5,137.0,426.0,406.0,425.0
Mt Everett Regional,Public School,292,12.0,53.0,18.2,122.0,41.8,86.0,29.5,0.7,0.0,6.8,87.0,0.0,0.0,5.5,51.0,49.0,10.3,94.9,0.0,0.0,5.1,57.0,41.0,71.9,0.0,53.7,24.4,22.0,24.4,2.4,4.9,35,60,14.0,17.0,4.0,0.0,0.0,16.0,12.0,22.0,6.0,4.0,46.7,53.3,42.0,514.0,500.0,501.0
Bay Path Regional Vocational Technical High School,Public School,1114,4.0,163.0,14.6,403.0,36.2,298.0,26.8,0.5,0.4,6.7,91.3,0.1,0.0,0.9,58.0,42.0,13.9,94.3,0.8,0.4,2.7,260.0,110.0,42.3,0.9,33.6,45.5,20.0,42.7,14.5,4.5,116,187,69.0,27.0,16.0,4.0,0.0,69.0,68.0,31.0,17.0,2.0,73.3,26.7,130.0,459.0,432.0,470.0
Southwick Regional School,Public School,737,18.0,140.0,19.0,221.0,30.0,124.0,16.8,1.9,0.4,3.8,92.8,0.0,0.0,1.1,50.6,49.4,15.3,91.4,0.0,1.2,6.1,118.0,96.0,81.4,0.0,28.1,39.6,32.3,36.5,15.6,10.4,75,102,55.0,15.0,3.0,2.0,0.0,19.0,21.0,29.0,17.0,16.0,39.2,60.8,113.0,518.0,498.0,522.0
David Prouty High,Public School,338,5.0,40.0,11.8,134.0,39.6,111.0,32.8,1.2,1.2,8.6,84.0,0.0,0.0,5.0,54.4,45.6,15.8,74.1,0.9,2.8,13.0,96.0,66.0,68.8,0.0,24.2,28.8,47.0,27.3,31.8,12.1,72,148,28.0,22.0,14.0,6.0,2.0,36.0,46.0,31.0,27.0,8.0,55.4,44.6,61.0,514.0,489.0,518.0
Roger L. Putnam Vocational Technical Academy,Public School,1442,406.0,231.0,16.0,1050.0,72.8,949.0,65.8,19.5,1.6,65.5,12.6,0.0,0.0,0.9,45.8,54.2,13.0,92.6,2.7,0.3,2.7,281.0,164.0,58.4,0.0,17.7,66.5,15.9,64.0,11.6,2.4,113,159,81.0,21.0,8.0,3.0,0.0,76.0,47.0,23.0,10.0,3.0,77.4,22.6,265.0,354.0,340.0,371.0
Springfield Central High,Public School,2055,547.0,335.0,16.3,1441.0,70.1,1283.0,62.4,24.1,6.0,51.5,17.0,0.0,0.1,1.1,51.8,48.2,17.0,82.2,2.3,2.1,9.6,435.0,328.0,75.4,0.0,19.8,63.1,17.1,62.5,10.1,5.2,310,564,168.0,71.0,44.0,16.0,11.0,177.0,188.0,120.0,54.0,25.0,64.7,35.3,383.0,403.0,386.0,410.0
Springfield High School of Science and Technology,Public School,1366,474.0,294.0,21.5,1148.0,84.0,1010.0,73.9,17.3,2.3,68.4,11.3,0.0,0.1,0.7,58.8,41.2,13.1,58.6,14.9,0.9,18.4,258.0,140.0,54.3,0.0,12.9,76.4,10.7,73.6,4.3,3.6,163,312,66.0,53.0,37.0,6.0,1.0,244.0,50.0,15.0,2.0,1.0,94.2,5.8,178.0,332.0,306.0,336.0
The Springfield Renaissance School an Expeditionary Learning School,Public School,713,83.0,113.0,15.8,396.0,55.5,341.0,47.8,25.2,1.4,47.0,25.4,0.0,0.1,0.8,51.6,48.4,16.1,89.8,0.0,0.0,3.1,90.0,76.0,84.4,0.0,22.4,48.7,28.9,44.7,22.4,3.9,40,49,31.0,9.0,0.0,0.0,0.0,18.0,18.0,7.0,4.0,2.0,73.5,26.5,94.0,433.0,428.0,433.0
Stoneham High,Public School,679,69.0,84.0,12.4,164.0,24.2,87.0,12.8,2.8,3.5,5.2,86.3,0.1,0.0,2.1,49.3,50.7,14.3,94.6,0.0,0.0,2.0,160.0,141.0,88.1,0.7,38.3,17.0,44.0,17.0,7.8,22.0,136,290,43.0,46.0,37.0,7.0,3.0,34.0,65.0,96.0,69.0,26.0,34.1,65.9,123.0,497.0,498.0,490.0
Stoughton High,Public School,1061,160.0,131.0,12.3,345.0,32.5,233.0,22.0,22.2,5.5,5.9,64.5,0.0,0.1,1.8,51.8,48.2,16.5,92.9,0.0,0.0,5.1,219.0,184.0,84.0,0.0,34.8,29.3,35.9,28.3,16.3,13.0,121,233,55.0,31.0,25.0,9.0,1.0,38.0,50.0,67.0,43.0,35.0,37.8,62.2,195.0,512.0,502.0,518.0
Sutton High School,Public School,426,2.0,46.0,10.8,65.0,15.3,30.0,7.0,0.2,0.9,1.6,92.5,0.2,0.0,4.5,49.1,50.9,16.9,95.5,0.0,0.9,1.8,106.0,92.0,86.8,0.0,42.4,7.6,50.0,7.6,18.5,12.0,117,200,59.0,40.0,12.0,5.0,1.0,39.0,43.0,66.0,32.0,20.0,41.0,59.0,96.0,523.0,502.0,521.0
Swampscott High,Public School,677,47.0,83.0,12.3,159.0,23.5,89.0,13.1,4.6,2.1,9.7,81.5,0.0,0.4,1.6,49.2,50.8,15.4,94.0,0.0,0.6,1.8,149.0,135.0,90.6,0.0,51.9,11.1,37.0,11.1,11.9,11.1,161,362,63.0,39.0,31.0,16.0,12.0,29.0,75.0,99.0,96.0,63.0,28.7,71.3,148.0,520.0,515.0,535.0
Joseph Case High,Public School,528,8.0,53.0,10.0,148.0,28.0,114.0,21.6,1.7,1.3,1.7,93.9,0.2,0.0,1.1,52.7,47.3,14.2,91.7,1.5,0.0,4.5,138.0,100.0,72.5,0.0,18.0,41.0,41.0,39.0,11.0,25.0,82,131,49.0,21.0,9.0,2.0,1.0,29.0,49.0,29.0,16.0,8.0,59.5,40.5,74.0,521.0,495.0,539.0
Tantasqua Regional Sr High,Public School,760,7.0,45.0,5.9,130.0,17.1,98.0,12.9,0.5,1.4,4.1,91.2,0.1,0.0,2.6,43.6,56.4,13.7,94.8,0.0,0.5,2.1,183.0,153.0,83.6,0.0,34.0,27.5,38.6,26.8,15.7,11.1,228,419,101.0,75.0,41.0,10.0,1.0,20.0,98.0,121.0,110.0,70.0,28.2,71.8,139.0,543.0,520.0,575.0
Tantasqua Regional Vocational,Public School,497,2.0,93.0,18.7,182.0,36.6,116.0,23.3,0.2,0.4,5.0,91.5,0.6,0.0,2.2,61.4,38.6,10.0,97.9,0.0,0.0,1.1,84.0,42.0,50.0,0.0,16.7,54.8,28.6,47.6,21.4,4.8,15,21,9.0,6.0,0.0,0.0,0.0,2.0,6.0,6.0,4.0,3.0,38.1,61.9,27.0,493.0,451.0,519.0
Taunton High,Public School,2502,247.0,366.0,14.6,1113.0,44.5,927.0,37.1,14.5,1.8,11.8,67.9,0.1,0.3,3.6,50.1,49.8,19.8,92.6,1.7,0.0,3.1,342.0,247.0,72.2,0.4,26.3,29.1,44.1,28.7,19.0,17.8,252,443,123.0,82.0,32.0,15.0,0.0,68.0,127.0,125.0,94.0,29.0,44.0,56.0,306.0,495.0,475.0,502.0
Tewksbury Memorial High,Public School,980,14.0,141.0,14.4,224.0,22.9,121.0,12.3,1.5,2.6,2.9,92.6,0.0,0.2,0.3,52.8,47.2,20.1,94.4,0.0,1.6,3.2,224.0,174.0,77.7,0.0,35.6,20.1,44.3,19.0,13.2,20.1,202,271,139.0,57.0,6.0,0.0,0.0,27.0,67.0,83.0,55.0,39.0,34.7,65.3,199.0,495.0,489.0,512.0
Tri-County Regional Vocational Technical,Public School,1023,5.0,302.0,29.5,438.0,42.8,213.0,20.8,0.4,0.7,4.6,89.2,0.4,0.2,4.5,55.0,44.9,16.8,96.0,0.0,0.9,2.2,238.0,139.0,58.4,0.7,31.7,31.7,36.0,25.9,18.7,13.7,63,89,46.0,8.0,9.0,0.0,0.0,29.0,22.0,25.0,7.0,6.0,57.3,42.7,112.0,489.0,460.0,494.0
Triton Regional High School,Public School,716,24.0,91.0,12.7,175.0,24.4,102.0,14.2,0.8,1.7,2.2,94.7,0.0,0.0,0.6,47.9,52.1,14.0,92.1,0.6,1.7,2.8,175.0,144.0,82.3,0.7,23.6,20.8,54.9,20.1,11.1,11.8,129,254,51.0,41.0,28.0,8.0,1.0,15.0,68.0,83.0,50.0,38.0,32.7,67.3,133.0,523.0,518.0,550.0
Tyngsborough High School,Public School,507,13.0,45.0,8.9,89.0,17.6,46.0,9.1,2.2,6.1,3.6,85.2,0.0,0.0,3.0,49.3,50.7,15.6,97.7,0.0,0.0,2.3,135.0,112.0,83.0,0.0,25.9,28.6,45.5,25.9,8.0,22.3,122,175,76.0,39.0,7.0,0.0,0.0,20.0,50.0,54.0,36.0,15.0,40.0,60.0,111.0,493.0,469.0,517.0
Uxbridge High,Public School,482,17.0,72.0,14.9,130.0,27.0,83.0,17.2,1.5,1.5,2.7,91.9,0.6,0.2,1.7,53.5,46.5,16.9,89.0,1.5,1.5,8.1,96.0,70.0,72.9,0.0,32.9,24.3,42.9,20.0,22.9,14.3,101,129,76.0,23.0,1.0,1.0,0.0,15.0,38.0,44.0,24.0,8.0,41.1,58.9,88.0,511.0,498.0,523.0
Wachusett Regional High,Public School,2140,69.0,268.0,12.5,411.0,19.2,183.0,8.6,1.9,3.2,4.1,88.9,0.0,0.2,1.7,47.3,52.7,17.6,95.4,0.4,0.4,2.7,486.0,411.0,84.6,0.0,36.5,23.6,39.9,23.4,19.0,11.7,381,673,201.0,99.0,58.0,16.0,7.0,21.0,58.0,160.0,241.0,193.0,11.7,88.3,472.0,538.0,524.0,554.0
Wakefield Memorial High,Public School,1016,31.0,143.0,14.1,239.0,23.5,129.0,12.7,3.1,3.1,2.9,88.6,0.2,0.3,2.0,47.9,52.1,14.6,96.9,0.4,0.8,0.8,257.0,225.0,87.5,0.0,39.1,14.7,46.2,14.2,18.2,16.0,172,326,74.0,59.0,25.0,12.0,2.0,16.0,69.0,98.0,86.0,57.0,26.1,73.9,215.0,524.0,521.0,537.0
Walpole High,Public School,1143,75.0,148.0,12.9,220.0,19.2,95.0,8.3,4.2,3.5,4.5,86.7,0.2,0.0,0.9,48.9,51.1,19.1,96.2,0.0,0.3,1.0,290.0,256.0,88.3,0.0,41.8,10.9,47.3,10.9,19.1,11.7,178,387,72.0,35.0,46.0,19.0,6.0,9.0,34.0,111.0,126.0,107.0,11.1,88.9,272.0,527.0,524.0,538.0
Waltham Sr High,Public School,1586,713.0,266.0,16.8,767.0,48.4,412.0,26.0,11.6,5.0,38.3,42.2,0.2,0.3,2.3,54.1,45.9,17.1,85.7,2.3,0.6,5.4,292.0,217.0,74.3,0.0,27.6,29.5,42.9,29.0,17.1,19.4,225,441,91.0,75.0,42.0,12.0,5.0,49.0,75.0,118.0,118.0,81.0,28.1,71.9,232.0,473.0,471.0,500.0
Ware Junior/Senior High School,Public School,475,11.0,79.0,16.6,229.0,48.2,193.0,40.6,2.5,1.1,8.8,83.8,0.4,0.2,3.2,52.4,47.6,18.8,76.5,0.0,4.4,16.2,48.0,28.0,58.3,0.0,39.3,25.0,35.7,25.0,17.9,10.7,31,40,22.0,9.0,0.0,0.0,0.0,1.0,15.0,13.0,8.0,3.0,40.0,60.0,30.0,482.0,448.0,487.0
Wareham Senior High,Public School,518,6.0,119.0,23.0,278.0,53.7,222.0,42.9,9.7,1.5,9.8,67.6,0.8,0.2,10.4,51.0,49.0,12.0,92.3,0.8,0.0,4.6,114.0,87.0,76.3,0.0,27.6,31.0,41.4,29.9,25.3,11.5,83,142,39.0,30.0,13.0,1.0,0.0,52.0,41.0,36.0,10.0,3.0,65.5,34.5,77.0,479.0,452.0,483.0
Watertown High,Public School,662,240.0,140.0,21.1,287.0,43.4,156.0,23.6,3.2,6.5,13.0,73.6,0.8,0.2,2.9,50.2,49.8,13.7,87.9,0.5,0.0,7.1,180.0,154.0,85.6,0.0,45.5,19.5,35.1,18.2,5.8,22.7,108,208,49.0,35.0,13.0,8.0,3.0,12.0,29.0,65.0,57.0,45.0,19.7,80.3,141.0,503.0,487.0,534.0
Wayland High School,Public School,828,71.0,170.0,20.5,200.0,24.2,30.0,3.6,4.8,15.0,5.4,70.4,0.0,0.1,4.2,53.1,46.9,14.9,98.7,0.0,0.0,0.4,206.0,180.0,87.4,0.0,53.9,5.0,41.1,4.4,3.3,13.3,203,409,97.0,44.0,32.0,23.0,7.0,7.0,22.0,67.0,127.0,186.0,7.1,92.9,201.0,595.0,593.0,619.0
Bartlett High School,Public School,443,51.0,70.0,15.8,224.0,50.6,181.0,40.9,4.3,2.9,14.7,73.1,0.0,0.0,5.0,54.2,45.8,15.7,66.7,0.9,0.9,24.3,91.0,64.0,70.3,0.0,26.6,29.7,43.8,29.7,32.8,7.8,127,216,58.0,49.0,20.0,0.0,0.0,67.0,94.0,37.0,13.0,5.0,74.5,25.5,53.0,493.0,470.0,491.0
Wellesley Sr High,Public School,1512,109.0,234.0,15.5,320.0,21.2,98.0,6.5,6.1,11.6,4.7,73.5,0.0,0.1,4.0,48.2,51.8,16.2,97.3,0.5,0.0,0.8,324.0,278.0,85.8,0.0,67.3,5.0,27.7,5.0,0.4,9.4,313,618,136.0,88.0,62.0,17.0,10.0,7.0,20.0,117.0,219.0,255.0,4.4,95.6,306.0,601.0,598.0,614.0
West Boylston Junior/Senior High,Public School,513,13.0,65.0,12.7,136.0,26.5,87.0,17.0,1.6,0.8,9.2,85.0,0.2,0.0,3.3,47.6,52.4,14.4,93.2,0.0,0.0,3.4,65.0,60.0,92.3,0.0,35.0,25.0,40.0,23.3,18.3,13.3,55,72,38.0,17.0,0.0,0.0,0.0,4.0,17.0,28.0,12.0,11.0,29.2,70.8,48.0,523.0,504.0,525.0
West Bridgewater Junior/Senior,Public School,619,5.0,49.0,7.9,129.0,20.8,87.0,14.1,3.1,1.3,2.4,90.8,0.2,0.2,2.1,44.9,55.1,17.3,98.2,0.0,0.0,0.9,99.0,86.0,86.9,0.0,31.4,18.6,50.0,18.6,29.1,14.0,108,166,61.0,36.0,11.0,0.0,0.0,36.0,51.0,41.0,21.0,17.0,52.4,47.6,94.0,506.0,496.0,508.0
West Springfield High,Public School,1219,351.0,230.0,18.9,595.0,48.8,469.0,38.5,3.6,6.8,14.4,73.2,0.1,0.1,1.9,52.3,47.7,15.3,86.3,2.4,0.3,5.8,235.0,165.0,70.2,0.0,23.0,51.5,25.5,49.1,13.3,6.7,232,446,83.0,97.0,39.0,13.0,0.0,99.0,159.0,109.0,58.0,21.0,57.8,42.2,145.0,487.0,479.0,508.0
Westborough High,Public School,1053,193.0,113.0,10.7,211.0,20.0,80.0,7.6,2.0,21.2,4.5,70.1,0.0,0.0,2.3,49.3,50.7,14.4,97.3,0.4,0.4,1.6,290.0,248.0,85.5,0.0,43.1,10.9,46.0,8.5,8.9,16.9,212,417,92.0,63.0,35.0,16.0,6.0,3.0,20.0,67.0,129.0,198.0,5.5,94.5,225.0,583.0,577.0,608.0
Westfield High,Public School,1269,69.0,192.0,15.1,444.0,35.0,337.0,26.6,2.9,3.2,11.1,80.6,0.2,0.2,1.9,45.3,54.7,17.3,84.2,1.8,0.6,7.9,340.0,262.0,77.1,0.0,29.0,37.4,33.6,36.6,18.7,7.3,404,676,235.0,102.0,44.0,14.0,9.0,198.0,202.0,155.0,63.0,58.0,59.2,40.8,188.0,527.0,503.0,526.0
Westford Academy,Public School,1680,169.0,165.0,9.8,224.0,13.3,61.0,3.6,0.7,20.5,1.1,74.1,0.0,0.0,3.6,51.0,49.0,19.7,98.6,0.0,0.2,0.5,409.0,372.0,91.0,0.0,40.6,11.3,48.1,10.8,8.1,16.7,397,772,188.0,106.0,60.0,27.0,16.0,3.0,28.0,115.0,230.0,396.0,4.0,96.0,382.0,594.0,580.0,612.0
Weston High,Public School,706,93.0,120.0,17.0,177.0,25.1,41.0,5.8,5.9,17.0,4.8,67.1,0.6,0.0,4.5,50.6,49.4,12.9,97.4,0.0,0.0,0.0,172.0,141.0,82.0,0.0,58.2,8.5,33.3,7.8,0.7,7.8,275,512,149.0,61.0,32.0,22.0,11.0,18.0,63.0,127.0,156.0,148.0,15.8,84.2,143.0,604.0,603.0,627.0
Westwood High,Public School,999,34.0,181.0,18.1,212.0,21.2,41.0,4.1,3.0,7.0,1.9,86.5,0.0,0.0,1.6,47.4,52.6,15.8,97.6,0.0,0.5,0.0,247.0,217.0,87.9,0.0,57.6,2.8,39.6,2.3,7.8,16.6,285,497,150.0,77.0,42.0,13.0,3.0,8.0,40.0,94.0,167.0,188.0,9.7,90.3,206.0,557.0,548.0,578.0
Weymouth High School,Public School,1953,156.0,300.0,15.4,693.0,35.5,483.0,24.7,4.3,4.8,6.8,81.3,0.2,0.0,2.7,52.0,48.0,16.6,88.5,0.0,1.7,5.7,461.0,289.0,62.7,1.0,28.7,28.4,41.9,27.0,18.0,15.9,212,409,93.0,62.0,39.0,15.0,3.0,27.0,74.0,139.0,106.0,63.0,24.7,75.3,342.0,503.0,491.0,510.0
Whitman Hanson Regional,Public School,1170,16.0,153.0,13.1,304.0,26.0,205.0,17.5,1.9,1.3,2.5,91.8,0.3,0.2,2.1,48.5,51.5,20.9,93.8,0.3,0.3,1.3,267.0,204.0,76.4,0.0,26.5,29.9,43.6,29.9,25.5,9.3,339,577,177.0,106.0,36.0,20.0,0.0,56.0,194.0,169.0,102.0,56.0,43.3,56.7,222.0,499.0,499.0,518.0
Wilmington High,Public School,891,21.0,116.0,13.0,173.0,19.4,72.0,8.1,2.4,5.2,3.0,87.5,0.1,0.1,1.7,49.4,50.6,14.5,94.1,0.5,1.0,1.5,244.0,212.0,86.9,0.9,41.0,17.0,41.0,17.0,8.5,17.5,137,191,97.0,29.0,8.0,3.0,0.0,18.0,41.0,60.0,46.0,26.0,30.9,69.1,181.0,514.0,508.0,527.0
Murdock High School,Public School,289,10.0,62.0,21.5,138.0,47.8,107.0,37.0,2.1,3.1,8.0,84.1,0.3,0.0,2.4,53.6,46.4,15.2,82.9,0.0,0.0,9.8,66.0,45.0,68.2,0.0,17.8,55.6,26.7,55.6,26.7,0.0,41,70,21.0,14.0,3.0,3.0,0.0,19.0,14.0,22.0,9.0,6.0,47.1,52.9,28.0,471.0,449.0,463.0
Winchester High School,Public School,1268,150.0,228.0,18.0,305.0,24.1,71.0,5.6,1.4,16.4,4.1,74.1,0.1,0.0,3.9,50.3,49.7,17.0,97.5,0.0,0.3,0.6,264.0,231.0,87.5,0.0,63.6,4.3,32.0,4.3,3.0,13.9,264,679,96.0,52.0,43.0,34.0,39.0,28.0,47.0,117.0,232.0,255.0,11.0,89.0,295.0,587.0,586.0,617.0
Winthrop High School,Public School,576,82.0,104.0,18.1,229.0,39.8,153.0,26.6,1.9,1.7,11.8,81.4,0.5,0.0,2.6,49.8,50.2,18.3,86.6,3.4,1.3,5.4,115.0,93.0,80.9,0.0,43.0,15.1,41.9,14.0,18.3,11.8,148,247,70.0,59.0,17.0,2.0,0.0,55.0,89.0,65.0,27.0,11.0,58.3,41.7,117.0,481.0,469.0,494.0
Woburn High,Public School,1333,234.0,190.0,14.3,470.0,35.3,293.0,22.0,6.1,6.4,11.9,73.8,0.1,0.2,1.6,49.1,50.8,16.4,88.6,0.9,0.9,5.1,300.0,229.0,76.3,0.0,34.9,24.9,40.2,24.5,15.3,17.9,181,330,93.0,45.0,28.0,12.0,3.0,35.0,78.0,102.0,76.0,39.0,34.2,65.8,260.0,495.0,481.0,516.0
Burncoat Senior High,Public School,1023,450.0,264.0,25.8,718.0,70.2,560.0,54.7,19.1,5.9,38.2,32.2,0.2,0.0,4.5,51.8,48.2,15.3,82.0,2.2,0.0,7.9,218.0,149.0,68.3,0.0,15.4,48.3,36.2,47.0,18.8,14.8,167,284,85.0,52.0,25.0,5.0,0.0,121.0,89.0,34.0,27.0,13.0,73.9,26.1,114.0,452.0,446.0,457.0
Claremont Academy,Public School,532,415.0,62.0,11.7,444.0,83.5,346.0,65.0,9.2,9.8,72.4,7.0,0.0,0.0,1.7,50.4,49.6,17.6,86.0,0.0,0.0,5.3,54.0,32.0,59.3,0.0,28.1,53.1,18.8,50.0,18.8,0.0,63,121,25.0,22.0,13.0,2.0,1.0,84.0,29.0,4.0,3.0,1.0,93.4,6.6,34.0,354.0,360.0,371.0
Doherty Memorial High,Public School,1555,745.0,257.0,16.5,916.0,58.9,683.0,43.9,16.1,7.8,31.7,40.6,0.3,0.0,3.5,54.5,45.5,13.5,84.4,1.6,1.0,6.3,303.0,228.0,75.2,0.0,20.2,32.5,47.4,31.1,23.7,19.7,287,484,150.0,98.0,25.0,8.0,6.0,109.0,145.0,123.0,68.0,39.0,52.5,47.5,253.0,468.0,453.0,484.0
North High,Public School,1307,754.0,332.0,25.4,1064.0,81.4,831.0,63.6,19.3,8.3,47.9,21.0,0.4,0.0,3.1,52.1,47.9,14.8,76.7,3.4,0.9,8.5,281.0,153.0,54.4,0.0,11.8,63.4,24.8,62.7,16.3,5.9,219,331,130.0,66.0,23.0,0.0,0.0,169.0,103.0,41.0,11.0,7.0,82.2,17.8,165.0,400.0,384.0,409.0
South High Community,Public School,1421,814.0,338.0,23.8,1078.0,75.9,832.0,58.6,17.1,12.7,43.7,23.9,0.1,0.0,2.5,52.9,47.1,16.0,76.4,1.9,1.2,6.5,274.0,166.0,60.6,0.0,14.5,49.4,36.1,45.8,20.5,14.5,366,672,178.0,101.0,60.0,23.0,4.0,269.0,162.0,130.0,75.0,36.0,64.1,35.9,156.0,440.0,432.0,473.0
